date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:26:53	122/122	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Jan%202024%2003:26:54%20GMT	https://html.vlthemes.me/robots.txt		(from )
10:26:53	64071/64071	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202024%2003:26:54%20GMT	https://html.vlthemes.me/mikael/	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/index.html	(from )
10:26:54	153136/153136	---MCZ	200	added ('OK')	text/css	etag:W/%225edb76d6-25630%22	https://html.vlthemes.me/mikael/assets/css/framework/bootstrap.min.css	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/css/framework/bootstrap.min.css	(from https://html.vlthemes.me/mikael/)
10:26:54	225428/225428	---M--	200	added ('OK')	image/png	etag:%225edb76db-37094%22	https://html.vlthemes.me/mikael/assets/img/root/favicon.png	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/img/root/favicon.png	(from https://html.vlthemes.me/mikael/)
10:26:55	851/851	---MCZ	200	added ('OK')	text/css	etag:W/%225edb76d8-353%22	https://html.vlthemes.me/mikael/assets/fonts/Inter/style.css	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/fonts/Inter/style.css	(from https://html.vlthemes.me/mikael/)
10:26:56	55920/55920	---MCZ	200	added ('OK')	text/css	etag:W/%225edb76d7-da70%22	https://html.vlthemes.me/mikael/assets/css/vlt-plugins.min.css	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/css/vlt-plugins.min.css	(from https://html.vlthemes.me/mikael/)
10:26:56	45873/45873	---MCZ	200	added ('OK')	text/css	etag:W/%225edb76d7-b331%22	https://html.vlthemes.me/mikael/assets/css/vlt-main.min.css	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/css/vlt-main.min.css	(from https://html.vlthemes.me/mikael/)
10:26:56	865/865	---MCZ	200	added ('OK')	text/css	etag:W/%225edb76d5-361%22	https://html.vlthemes.me/mikael/assets/css/custom.css	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/css/custom.css	(from https://html.vlthemes.me/mikael/)
10:26:57	64071/64071	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202024%2003:26:58%20GMT	https://html.vlthemes.me/mikael/index.html	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/index-2.html	(from https://html.vlthemes.me/mikael/)
10:26:58	2865/2865	---M--	200	added ('OK')	image/png	etag:%225edb76db-b31%22	https://html.vlthemes.me/mikael/assets/img/root/logo-black.png	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/img/root/logo-black.png	(from https://html.vlthemes.me/mikael/)
10:26:58	2792/2792	---M--	200	added ('OK')	image/png	etag:%225edb76db-ae8%22	https://html.vlthemes.me/mikael/assets/img/root/logo-white.png	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/img/root/logo-white.png	(from https://html.vlthemes.me/mikael/)
10:26:59	12001/12001	---M--	200	added ('OK')	image/png	etag:%225edb76db-2ee1%22	https://html.vlthemes.me/mikael/assets/img/root/plus-dark-pattern.png	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/img/root/plus-dark-pattern.png	(from https://html.vlthemes.me/mikael/)
10:26:59	63689/63689	---M--	200	added ('OK')	image/jpeg	etag:%225edb76dc-f8c9%22	https://html.vlthemes.me/mikael/assets/img/root/red-background.jpg	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/img/root/red-background.jpg	(from https://html.vlthemes.me/mikael/)
10:27:00	55204/55204	---M--	200	added ('OK')	image/png	etag:%225edb76db-d7a4%22	https://html.vlthemes.me/mikael/assets/img/root/elipse-home-slide.png	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/img/root/elipse-home-slide.png	(from https://html.vlthemes.me/mikael/)
10:27:00	11119/11119	---M--	200	added ('OK')	image/png	etag:%225edb76db-2b6f%22	https://html.vlthemes.me/mikael/assets/img/root/plus-light-pattern.png	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/img/root/plus-light-pattern.png	(from https://html.vlthemes.me/mikael/)
10:27:00	4682/4682	---M--	200	added ('OK')	image/png	etag:%225edb76db-124a%22	https://html.vlthemes.me/mikael/assets/img/root/elipse-light.png	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/img/root/elipse-light.png	(from https://html.vlthemes.me/mikael/)
10:27:03	217152/217152	---M--	200	added ('OK')	image/jpeg	etag:%225edb76d8-35040%22	https://html.vlthemes.me/mikael/assets/img/attachment-02.jpg	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/img/attachment-02.jpg	(from https://html.vlthemes.me/mikael/)
10:27:03	2188/2188	---M--	200	added ('OK')	image/png	etag:%225edb76db-88c%22	https://html.vlthemes.me/mikael/assets/img/root/parallax-particle-01.png	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/img/root/parallax-particle-01.png	(from https://html.vlthemes.me/mikael/)
10:27:04	1417/1417	---M--	200	added ('OK')	image/png	etag:%225edb76db-589%22	https://html.vlthemes.me/mikael/assets/img/root/parallax-particle-02.png	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/img/root/parallax-particle-02.png	(from https://html.vlthemes.me/mikael/)
10:27:04	649548/649548	---M--	200	added ('OK')	image/jpeg	etag:%225edb76da-9e94c%22	https://html.vlthemes.me/mikael/assets/img/attachment-07.jpg	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/img/attachment-07.jpg	(from https://html.vlthemes.me/mikael/)
10:27:04	1880/1880	---M--	200	added ('OK')	image/png	etag:%225edb76db-758%22	https://html.vlthemes.me/mikael/assets/img/root/parallax-particle-03.png	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/img/root/parallax-particle-03.png	(from https://html.vlthemes.me/mikael/)
10:27:07	144362/144362	---M--	200	added ('OK')	image/jpeg	etag:%225edb76da-233ea%22	https://html.vlthemes.me/mikael/assets/img/portfolio-01.jpg	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/img/portfolio-01.jpg	(from https://html.vlthemes.me/mikael/)
10:27:07	311675/311675	---M--	200	added ('OK')	image/jpeg	etag:%225edb76d9-4c17b%22	https://html.vlthemes.me/mikael/assets/img/attachment-03.jpg	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/img/attachment-03.jpg	(from https://html.vlthemes.me/mikael/)
10:27:07	198815/198815	---M--	200	added ('OK')	image/jpeg	etag:%225edb76da-3089f%22	https://html.vlthemes.me/mikael/assets/img/portfolio-02.jpg	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/img/portfolio-02.jpg	(from https://html.vlthemes.me/mikael/)
10:27:08	210530/210530	---M--	200	added ('OK')	image/jpeg	etag:%225edb76da-33662%22	https://html.vlthemes.me/mikael/assets/img/portfolio-04.jpg	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/img/portfolio-04.jpg	(from https://html.vlthemes.me/mikael/)
10:27:08	220628/220628	---M--	200	added ('OK')	image/jpeg	etag:%225edb76da-35dd4%22	https://html.vlthemes.me/mikael/assets/img/portfolio-03.jpg	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/img/portfolio-03.jpg	(from https://html.vlthemes.me/mikael/)
10:27:09	108294/108294	---M--	200	added ('OK')	image/jpeg	etag:%225edb76da-1a706%22	https://html.vlthemes.me/mikael/assets/img/portfolio-06.jpg	C:/My%20Web%20Sites/WEB%20CV/html.vlthemes.me/mikael/assets/img/portfolio-06.jpg	(from https://html.vlthemes.me/mikael/)
